ParkName,Region,State,Year,RecreationVisits,Latitude,Longitude
Acadia NP,Northeast,ME,1979,2787366,44.3386,-68.2733
Acadia NP,Northeast,ME,1980,2779666,44.3386,-68.2733
Acadia NP,Northeast,ME,1981,2997972,44.3386,-68.2733
Acadia NP,Northeast,ME,1982,3572114,44.3386,-68.2733
Acadia NP,Northeast,ME,1983,4124639,44.3386,-68.2733
Acadia NP,Northeast,ME,1984,3734763,44.3386,-68.2733
Acadia NP,Northeast,ME,1985,3745570,44.3386,-68.2733
Acadia NP,Northeast,ME,1986,3929054,44.3386,-68.2733
Acadia NP,Northeast,ME,1987,4288154,44.3386,-68.2733
Acadia NP,Northeast,ME,1988,4502283,44.3386,-68.2733
Acadia NP,Northeast,ME,1989,5440952,44.3386,-68.2733
Acadia NP,Northeast,ME,1990,2339591,44.3386,-68.2733
Acadia NP,Northeast,ME,1991,2475857,44.3386,-68.2733
Acadia NP,Northeast,ME,1992,2382113,44.3386,-68.2733
Acadia NP,Northeast,ME,1993,2656034,44.3386,-68.2733
Acadia NP,Northeast,ME,1994,2710749,44.3386,-68.2733
Acadia NP,Northeast,ME,1995,2845378,44.3386,-68.2733
Acadia NP,Northeast,ME,1996,2704831,44.3386,-68.2733
Acadia NP,Northeast,ME,1997,2760306,44.3386,-68.2733
Acadia NP,Northeast,ME,1998,2594497,44.3386,-68.2733
Acadia NP,Northeast,ME,1999,2602227,44.3386,-68.2733
Acadia NP,Northeast,ME,2000,2469238,44.3386,-68.2733
Acadia NP,Northeast,ME,2001,2516551,44.3386,-68.2733
Acadia NP,Northeast,ME,2002,2558572,44.3386,-68.2733
Acadia NP,Northeast,ME,2003,2431062,44.3386,-68.2733
Acadia NP,Northeast,ME,2004,2207847,44.3386,-68.2733
Acadia NP,Northeast,ME,2005,2051484,44.3386,-68.2733
Acadia NP,Northeast,ME,2006,2083588,44.3386,-68.2733
Acadia NP,Northeast,ME,2007,2202228,44.3386,-68.2733
Acadia NP,Northeast,ME,2008,2075857,44.3386,-68.2733
Acadia NP,Northeast,ME,2009,2227698,44.3386,-68.2733
Acadia NP,Northeast,ME,2010,2504208,44.3386,-68.2733
Acadia NP,Northeast,ME,2011,2374645,44.3386,-68.2733
Acadia NP,Northeast,ME,2012,2431052,44.3386,-68.2733
Acadia NP,Northeast,ME,2013,2254922,44.3386,-68.2733
Acadia NP,Northeast,ME,2014,2563129,44.3386,-68.2733
Acadia NP,Northeast,ME,2015,2811184,44.3386,-68.2733
Acadia NP,Northeast,ME,2016,3303393,44.3386,-68.2733
Acadia NP,Northeast,ME,2017,3509271,44.3386,-68.2733
Acadia NP,Northeast,ME,2018,3537575,44.3386,-68.2733
Acadia NP,Northeast,ME,2019,3437286,44.3386,-68.2733
Acadia NP,Northeast,ME,2020,2669034,44.3386,-68.2733
Acadia NP,Northeast,ME,2021,4069098,44.3386,-68.2733
Acadia NP,Northeast,ME,2022,3970260,44.3386,-68.2733
Acadia NP,Northeast,ME,2023,3879890,44.3386,-68.2733
Acadia NP,Northeast,ME,2024,3961661,44.3386,-68.2733
Arches NP,Intermountain,UT,1979,269840,38.7328,-109.5746
Arches NP,Intermountain,UT,1980,290519,38.7328,-109.5746
Arches NP,Intermountain,UT,1981,326508,38.7328,-109.5746
Arches NP,Intermountain,UT,1982,339415,38.7328,-109.5746
Arches NP,Intermountain,UT,1983,287875,38.7328,-109.5746
Arches NP,Intermountain,UT,1984,345180,38.7328,-109.5746
Arches NP,Intermountain,UT,1985,363464,38.7328,-109.5746
Arches NP,Intermountain,UT,1986,419444,38.7328,-109.5746
Arches NP,Intermountain,UT,1987,468916,38.7328,-109.5746
Arches NP,Intermountain,UT,1988,520455,38.7328,-109.5746
Arches NP,Intermountain,UT,1989,555809,38.7328,-109.5746
Arches NP,Intermountain,UT,1990,620719,38.7328,-109.5746
Arches NP,Intermountain,UT,1991,705882,38.7328,-109.5746
Arches NP,Intermountain,UT,1992,799831,38.7328,-109.5746
Arches NP,Intermountain,UT,1993,773678,38.7328,-109.5746
Arches NP,Intermountain,UT,1994,777178,38.7328,-109.5746
Arches NP,Intermountain,UT,1995,859374,38.7328,-109.5746
Arches NP,Intermountain,UT,1996,856016,38.7328,-109.5746
Arches NP,Intermountain,UT,1997,858525,38.7328,-109.5746
Arches NP,Intermountain,UT,1998,837161,38.7328,-109.5746
Arches NP,Intermountain,UT,1999,869980,38.7328,-109.5746
Arches NP,Intermountain,UT,2000,786429,38.7328,-109.5746
Arches NP,Intermountain,UT,2001,754026,38.7328,-109.5746
Arches NP,Intermountain,UT,2002,769672,38.7328,-109.5746
Arches NP,Intermountain,UT,2003,757781,38.7328,-109.5746
Arches NP,Intermountain,UT,2004,733131,38.7328,-109.5746
Arches NP,Intermountain,UT,2005,781670,38.7328,-109.5746
Arches NP,Intermountain,UT,2006,833049,38.7328,-109.5746
Arches NP,Intermountain,UT,2007,860181,38.7328,-109.5746
Arches NP,Intermountain,UT,2008,928795,38.7328,-109.5746
Arches NP,Intermountain,UT,2009,996312,38.7328,-109.5746
Arches NP,Intermountain,UT,2010,1014405,38.7328,-109.5746
