"lat","lon","year"
39.632839,-79.122963,2014
39.17285,-94.78297,2013
40.958412,-83.657692,2013
41.999585,-87.776004,2013
42.0016,-87.778357,2013
41.643706,-88.540884,2013
43.076667,-84.7805,2013
40.963669,-81.331219,2013
40.50932,-80.078997,2013
40.954578,-95.765463,2026
42.757754,-84.395587,2026
32.927905,-97.221706,2026
40.558925,-74.531386,2026
36.571704,-82.23158,2022
41.926305,-88.313411,2026
42.434242,-71.125442,2025
43.639417,-72.221358,2026
44.804895,-93.285088,2026
39.797845,-75.657255,2026
32.748628,-97.27202,2026
46.931133,-91.858328,2026
36.509923,-82.233463,2020
41.420093,-72.702724,2024
39.422117,-82.548233,2026
43.127505,-77.477942,2026
36.510719,-82.112551,2021
33.431183,-97.059547,2026
44.896446,-93.156654,2026
45.39508,-92.655975,2026
42.391,-76.373,2020
32.748458,-97.272109,2026
37.5176,-77.419862,2020
42.885202,-71.971222,2026
38.413247,-78.488634,2022
32.748638,-97.272003,2026
40.441638,-74.719348,2026
37.54516,-77.510237,2021
43.056807,-89.312542,2025
41.609888,-83.212118,2026
42.844888,-72.087216,2026
38.52798,-90.660217,2026
37.517135,-78.321838,2022
44.931364,-93.016822,2026
33.061357,-96.990758,2026
43.081911,-89.498944,2026
41.319528,-75.946075,2026
33.018639,-97.018439,2026
35.011375,-85.36583,2025
33.118386,-97.013384,2026
41.332328,-75.946288,2026
42.019639,-87.871322,2025
41.395228,-72.131192,2025
42.97356,-85.836843,2025
34.776507,-82.354782,2026
47.311228,-88.375437,2025
44.791818,-83.353619,2021
34.052817,-83.860071,2025
47.105372,-88.576303,2024
40.014233,-105.277546,2026
33.135958,-96.844047,2026
33.136228,-96.843708,2026
43.977563,-83.208297,2025
41.320205,-75.958138,2026
46.655092,-89.458225,2025
43.012231,-85.9706,2025
40.128702,-88.215333,2026
42.795703,-83.032455,2021
33.133658,-96.856038,2026
44.283642,-85.862113,2015
43.582069,-73.419653,2026
43.249766,-77.470978,2026
42.283336,-83.718817,2026
45.339017,-84.989747,2025
42.738833,-84.493366,2025
42.821899,-73.883292,2025
44.22932,-84.932183,2026
41.805761,-70.71657,2026
35.79572,-86.90924,2020
45.083739,-87.067487,2023
43.249939,-77.470481,2026
45.38147,-84.925163,2025
46.562917,-90.080913,2024
38.964702,-77.047364,2026
35.78917,-86.913298,2026
45.076081,-93.101133,2025
39.042186,-77.140397,2025
44.884313,-93.262517,2024
35.917202,-93.564322,2026
40.785767,-74.77603,2026
43.633258,-72.503753,2025
45.104247,-93.043981,2025
36.453437,-94.024298,2025
42.616248,-72.359983,2025
34.613053,-94.584882,2025
41.332103,-75.947692,2026
42.776013,-78.731381,2025
45.07634,-93.099271,2024
44.897277,-93.003949,2024
44.797712,-93.38807,2025
42.023172,-73.135772,2025
44.398656,-88.669948,2024
44.919672,-93.120923,2025
44.934738,-92.998297,2025
40.746721,-74.553218,2025
39.950881,-83.806789,2012
40.591455,-74.554965,2025
39.083825,-84.549203,2025
45.101404,-93.040165,2024
44.792783,-92.972633,2023
45.70457,-84.951714,2019
40.74701,-74.55318,2025
42.71459,-77.928448,2025
36.304242,-79.054134,2025
46.69953,-92.214747,2025
44.040061,-92.473228,2025
40.728032,-74.526004,2025
40.746514,-74.552958,2025
42.674049,-72.32713,2025
44.97857,-93.243902,2024
44.92012,-93.11198,2025
44.294678,-94.477705,2025
44.86813,-93.082969,2025
40.472655,-75.22358,2025
32.749058,-97.272562,2025
39.133789,-84.699006,2025
40.753895,-73.946678,2025
40.923997,-77.047675,2025
33.905952,-83.853389,2025
43.039933,-75.985456,2025
40.260452,-74.746506,2025
36.588549,-93.316665,2025
43.046739,-76.121933,2025
42.777284,-76.085768,2025
44.722516,-93.346678,2025
36.02884,-93.344999,2025
45.761054,-87.190906,2025
42.944455,-85.858453,2025
43.902131,-83.326966,2025
41.725564,-73.211394,2024
42.782447,-85.95294,2025
37.342278,-92.913683,2025
39.961945,-75.113122,2025
43.45364,-83.423019,2025
43.031947,-82.56478,2025
42.934794,-85.580839,2025
43.567352,-84.838466,2025
43.62664,-84.710888,2025
43.068048,-89.482756,2025
42.708942,-84.516975,2025
45.224847,-85.173755,2024
41.971111,-86.184396,2025
42.880772,-86.12678,2025
45.35252,-84.810356,2020
43.035697,-77.479858,2025
42.54065,-83.934475,2025
42.823052,-85.807946,2024
36.587175,-93.311356,2025
34.978163,-80.125192,2025
43.149085,-88.091584,2025
40.329304,-86.979111,2025
36.593944,-93.435794,2025
36.660678,-93.295647,2025
40.792757,-89.575009,2025
40.262096,-75.527704,2025
40.003181,-79.237883,2025
40.746834,-74.55319,2025
41.334533,-75.887283,2025
42.434172,-71.125397,2025
33.137663,-96.845073,2025
36.428376,-93.837717,2025
36.199,-80.337303,2025
43.196082,-77.499985,2025
38.515263,-79.575115,2025
40.785195,-74.77748,2025
38.517951,-79.566793,2025
43.851312,-70.275656,2025
33.134228,-96.858387,2025
43.637119,-72.230072,2025
36.655115,-93.295937,2025
38.943488,-92.388889,2025
44.840633,-93.236441,2025
43.249482,-77.471197,2025
43.247546,-77.469019,2025
38.255478,-79.55307,2025
40.753406,-74.289652,2024
42.969966,-77.228094,2025
40.94362,-76.572563,2025
41.404772,-71.765753,2025
41.320213,-75.957053,2025
41.320228,-75.95707,2025
44.058764,-72.531694,2025
33.357455,-97.742628,2025
40.421187,-86.909383,2020
43.063461,-75.351783,2025
33.358087,-97.742042,2025
43.205872,-77.481392,2025
33.357153,-97.74262,2025
40.447677,-86.939093,2020
46.707012,-89.975327,2025
42.922534,-86.216508,2014
