"year","invaded_cells","invaded_km2","status","new_cells_yr","pct_of_conus"
2001,1,192.515625,"Observed",0,0
2002,2,385.03125,"Observed",1,0
2003,4,770.0625,"Observed",2,0
2004,4,770.0625,"Observed",0,0
2005,5,962.578125,"Observed",1,0
2006,7,1347.609375,"Observed",2,0.1
2007,8,1540.125,"Observed",1,0.1
2008,10,1925.15625,"Observed",2,0.1
2009,10,1925.15625,"Observed",0,0.1
2010,11,2117.671875,"Observed",1,0.1
2011,16,3080.25,"Observed",5,0.1
2012,21,4042.828125,"Observed",5,0.2
2013,36,6930.5625,"Observed",15,0.3
2014,50,9625.78125,"Observed",14,0.4
2015,64,12321,"Observed",14,0.6
2016,88,16941.375,"Observed",24,0.8
2017,115,22139.296875,"Observed",27,1
2018,176,33882.75,"Observed",61,1.6
2019,257,49476.515625,"Observed",81,2.3
2020,412,79316.4375,"Observed",155,3.7
2021,626,120514.78125,"Observed",214,5.6
2022,801,154205.015625,"Observed",175,7.1
2023,1018,195980.90625,"Observed",217,9
2024,1207,232366.359375,"Observed",189,10.7
2025,1346,259126.03125,"Observed",139,11.9
2026,3645,701719.453125,"Projected",2299,32.4
2027,5898,1135457.15625,"Projected",2253,52.4
2028,7493,1442519.578125,"Projected",1595,66.5
2029,8503,1636960.359375,"Projected",1010,75.5
2030,9217,1774416.515625,"Projected",714,81.8
2031,9669,1861433.578125,"Projected",452,85.8
2032,9968,1918995.75,"Projected",299,88.5
2033,10158,1955573.71875,"Projected",190,90.2
2034,10318,1986376.21875,"Projected",160,91.6
2035,10458,2013328.40625,"Projected",140,92.8
2036,10587,2038162.921875,"Projected",129,94
2037,10690,2057992.03125,"Projected",103,94.9
2038,10786,2076473.53125,"Projected",96,95.7
2039,10874,2093414.90625,"Projected",88,96.5
2040,10943,2106698.484375,"Projected",69,97.1
